email, movie, date, rating
3daa5f0bfcfcdd28d8e4e082d07a2390905630b8b73d728ad5e76b2d537d9de0, "51cf0e3b122a3446c0e4ea171107eeacae2bf822eba87f280cb388bbf3e75831", 01/01/01, 1
634d92304e6faa960d4eacbf964ac17d590c0b01a8ceb8f346e7efbe290b3487, "001ecd4d8845fe1af305217dba2cb477588d7124b69010f21b54a96c8dff3ec1", 01/01/01, 3
e77aa6880f5bb9e4e37c59f6b8e92bb874eda8ce7d939157f8e2791aee282d03, "8eac9264162c10528af228587aa19440825601b7c619cbebe09a9d3f8d2a878a", 01/01/01, 2
ba1d886b5a9a0db076d3e1572341a9bcc916a221e5c2f50a3b468748f0467f0b, "3cca311ddc6cfbb242032da8b84730959243ec7b7f6da647abc6e2af763db411", 01/01/01, 3
8997a472c2cce12d28e08a8b58e84928ab00dbfdfe097ef6da0b43a6f4f23bc1, "4308b8662e003b78d41342091b0a0e9515d82a6d00e9198e586911c5c76beffe", 01/01/01, 2
61aa5960e18f74b2fc524203de204efb5f09d3f2129b047cbc6feb9bf0446748, "41a55626b7c4455264e11afe3289d994346a473cd80dd3d4222f20923722f807", 01/01/02, 4
1fa292d748725c08aff72d1652b5bdf6693654a21b8a533e3f12b071f07a85d0, "d5d0f69b0c728c1aa83913d04b2a0c42070036ceb40624b1ca448f073b21f506", 01/01/02, 2
ba1d886b5a9a0db076d3e1572341a9bcc916a221e5c2f50a3b468748f0467f0b, "509ac4c7d8aa493980d9f32027353e4774548217b72138483540ba50a6c997d8", 01/01/02, 3
ed636199adc5f4de63c0da37c62ae05b63544014985d20c52c5f608a51a6e4d1, "e64db59e48ee4a07130e79a41c57bf353590c32c0f97f4727554414f92649bae", 01/01/03, 4
bbf7c719b7e9afb91d963b25aedf052e666564c5367709d2bcf219cd145bf54f, "22c4caf8987ceed0d8f0e53a5bc06f048fbab87e59b239fa393dcce9a1394d62", 01/01/03, 5
41d719827ac14989cb35422aee0f50dc22147c61667e5c1306754855847cfc7e, "5be6920f27bffbae2f8937e44c895b1e84b7de285698a3dafce16c012c52b3f2", 01/01/03, 5
5a0bb49e3bf9d766e09ef67005f3b28cb360cd0839918a4fa936de85a4219b6a, "a9f853e807c56bac747d171da2c97108617a9dd1c9602f13d36d7800ea89e68b", 01/01/03, 1
19a32952ea19f32edd246061a2471c0546905fde9b8d13ad36d6f8ff3839e791, "29a40bc8510bccb69c5e4fddf7aa6806ec09228944bfbfbd0af2c4d066f488ba", 01/01/03, 5
5ebe3340ab2a8aa6c59d5d89773e1579969ee2a7a513cd625082bcf6ad7c8eb8, "73a031e7ee9d7e34ffb5400df8cd2ed4affcbc73379d175a82665bc0af734b66", 01/01/04, 1
4b239b0c65dab91f0f9451688a8fb6f0464a9af8aa79e52eb6d86fb6baf138d6, "a9832b4a142732c0112741420af0cd268313114e64a53243fa965d4f4caae920", 01/01/04, 4
4a879b72b6fb6a5bb96ad407bff3f8edd498a96d32787be9ad441413b141a079, "4792422a6fc3aa89652ec8af733971966fdac6e565a36dee98942f97bb4b0e6d", 01/01/04, 2
611f7e49074ef2f51a442995486cf5d27a351a486997f0aa1b5329a50f032d16, "dafe9ca0f25b1ee9cc0bee7e482ea83d4f35dee51ded1551b7635b3dca08df76", 01/01/04, 1
9f83698e4dc5835b7bf53086cd487a0fd550241ca6ab574f0ebac026eec710c5, "751b54608a5aaca699c64f2ec5979171837c62a55188746f3009cd1238b1d191", 01/01/05, 4
9f20648794aff176f223aba561e56da8d99f886b282ce70b7f14786f0ee86d34, "4792422a6fc3aa89652ec8af733971966fdac6e565a36dee98942f97bb4b0e6d", 01/01/05, 1
02b3bb576f1eddd7e88d8e44e61fedc66ba87eeb69c13f1ee93bd0eca0ddcf87, "c2aec99f8ad792a195d57ed1d2fbf47ffaf1848a1a9e8a017c1178b74df7951c", 01/01/05, 1
06196870742ae4d8a2bdcd406c6e8c185bd6169076990b2b7cf506a88848faa1, "09e74171ec1a64b9765a4de394b5b0fb14e56ad77fc4aa4eda05628c2da3638c", 01/01/05, 5
34d24d57e810da39a914121bccaee1b7ad7d8a9ee8e458eca1579c8c15dfe482, "010b9eee187d5423fcf8518838b2b5bb7f7819737d37a27be0116421f33ae6ee", 01/01/05, 2
cabb53d305517b12b2e073cf1503b333f722514b2dbc802d7bdcae4384c222ea, "814fbabe9b1c52ca397e31a0dd68f1cedf65509879fee40d304fc6824704ee08", 01/01/06, 2
238244a9030b2b65e773c331a06af666e8fcb2b53914a21728282357483a76f4, "e56f06cb32c3a3e8a340a3a9a907094c5717c85d378cbed6633bdd3ff80ac41a", 01/01/06, 5
66593f51c49d582be676bc3517404a72154d606007d6a3fccdf139ce7de220af, "c7c610c402122ffe410eec795f84f4a94a525282cb40c04777271aa9294ce511", 01/01/06, 5
66383e7d20da63f2e29eb6b88aa1ccbbd9f72e99968560eddc99d1a2e0975fa2, "4308b8662e003b78d41342091b0a0e9515d82a6d00e9198e586911c5c76beffe", 01/01/06, 1
ba1d886b5a9a0db076d3e1572341a9bcc916a221e5c2f50a3b468748f0467f0b, "eaed953ae0ef934672f400ad5bf46c601a712551c71596483207decc0490340e", 01/01/06, 3
db38968fb95e9ad192db4a57960a14bd11d37322b9c18a3f00d96ff2d0395c27, "18dfa7a3feb4d3bb821d56db61c7b05913c8a4b1e45905d0ed6fa980686322bb", 01/01/06, 5
a011eea0f07423c69b1edb7e2134c682917154d0f6a57920175b8bdc4c7662b6, "37b2fa20f1423e36b13c51514c8684b9a0bcdc5c2f203a77b054374c4b85dd90", 01/01/06, 3
5d5efb27b6636bcfb1ac766b7aa9e987096a3a7a50898b03490b037badfc4cd6, "24fec3b671721f57f2e27caeea759643c5837d2069d94aa37f58fb4a578594f7", 01/01/06, 3
463797a4450e7e2341f0a993bda5c5d802f30f10c9ba81b365322783bc0a9dd6, "dc3c957ba74247ad5efcc272857b0f932c9ba011528749797fc4b092fa3691e3", 01/01/06, 1
8cc3c33a7c767990419d7fb1063274bf70029cd394d74b4de15ea3aae0570a31, "001ecd4d8845fe1af305217dba2cb477588d7124b69010f21b54a96c8dff3ec1", 01/01/07, 1
767fada436af03f8101473e205ee5ee83a81618528e110538b96d95d661c6b06, "e314cdca25828dcca894b7d8114d80a46e8ee997809871987087709e44295dbf", 01/01/07, 2
f47bdba474ed10e51f0ac3c3200c0bf16a437e352685d47de9bda4da0be1cdd6, "feed111dfa67886bd282fbb2df028c65b8b78ec1c109ec669f50f1d2495f8eac", 01/01/07, 4
2d7dfb4fcf5acc709bb798cdedfd179ce1a6607308763aa690bdb0933d446891, "cd3bb3e1af153f7cf6dd5979d67d41603d0d06cffe43ebd4bd050019e4fefc95", 01/01/07, 3
09107ad799e0cc8deee67e5c7f8934025c818c8dd9bdd06e9552d24073c08b00, "f47c1daaafaee75d4493e6f0cf94c0803c5e8acadabb5f90b8ab8ced2b32560e", 01/01/07, 4
584beb741fe92fb90a5c83555fd35b49c0fcee5a74673283d8c98020326ade5e, "32d60a792dd6c914fa4e6caa2ea70319764734be400319eeff9c61518efc0fd8", 01/01/08, 4
acd1afd083e83f31e2d7a9460d075fd1ad969eb7d95b06e35e045ff8b9925bd6, "ced7f107f654b11f8277d181a3edd7fa10f6d130bfcd1b61490a007e04c739fb", 01/01/08, 4
bbf7c719b7e9afb91d963b25aedf052e666564c5367709d2bcf219cd145bf54f, "2e5b4be6e40aa27b0dc9412d973e46c926965b523fc69c2b94c9f01d866dad01", 01/01/08, 5
33b16ce79eb6ca87f8fb56be083221b1d76e8e5e319e26c92fa8ad367b8e2742, "9986bf7292738228825034f79e024c4752c12e8cb756e7ccf62cc5bc000d0d8c", 01/01/08, 5
44b272ddf031d2760ea8074649f1cb54bcf15792cbb0b125323fcfc5b732209d, "8e599ad1dda1d2734e5bbe2464011b0b2c5979bac9707b43239f331f07a4d01a", 01/01/08, 4
43986d80ce99f4e31a585006cc2efa1a98aece0b957a07a868f8223891277c5a, "5120fd8c2fddfdde4a06bb2142ee17db46e3f5800f344f97cc9d27a93befed6e", 01/01/08, 3
6718ca827b740990f03990e7b5d23be46025b84f2304acf07c6424238d6568cc, "011a4d857064f2db81d167431fd15f281f3651dfae7daed44597b771b7b79ff6", 01/01/09, 4
